"word","n"
"решение",328
"попросить",327
"близко",326
"жаль",326
"кресло",326
"снимать",326
"франция",326
"нос",325
"поступок",325
"просыпаться",324
"тяжелый",324
"шляпа",324
"достигать",323
"поздно",323
"представляться",323
"стих",323
"читатель",323
"всеобщий",322
"долгий",322
"слава",322
"возвращаться",321
"выдумывать",321
"жар",321
"пробормотать",321
"остальной",320
"отыскивать",320
"вынимать",319
"мимо",319
"угадывать",319
"шатов",319
"божий",318
"велеть",318
"чрез",318
"действовать",317
"капитан",317
"ощущение",317
"пристально",317
"строгий",317
"весело",316
"влияние",316
"каторга",316
"обещать",316
"пожалуйста",316
"покраснеть",316
"поцеловать",316
"злоба",315
"слух",315
"современный",315
"хозяйка",315
"знак",314
"милостивый",314
"неожиданный",314
"подождать",313
"учитель",313
"ганя",312
"казарма",312
"покамест",312
"соображать",312
"копейка",311
"недавно",311
"объяснение",311
"истина",310
"петербургский",310
"свидетель",310
"увидать",310
"наслаждение",309
"пустой",309
"успех",309
"ненависть",308
"старуха",308
"далее",307
"делаться",307
"прощай",307
"солнце",307
"стыд",307
"темный",307
"тридцать",307
"аркадий",306
"беспокойство",306
"боль",306
"волос",306
"гордый",306
"глубоко",305
"детство",305
"заставать",305
"полюбить",305
"обманывать",304
"устраивать",304
"колено",303
"талант",303
"убегать",303
"громко",302
"ипполит",302
"потребность",302
"путь",302
"сад",302
"болезненный",301
"встреча",300
"молчание",300
"презрение",300
"тихий",300
"насмешка",299
"прокофиевна",299
"здоровый",298
"появляться",298
"рассчитывать",298
"расчет",298
"гм",297
"запирать",297
"интерес",297
"итак",297
"ка",297
"понравиться",297
"предмет",297
"возбуждать",296
"одевать",296
"пример",296
"рядом",296
"спокойный",296
"утверждать",296
"гордость",295
"значение",295
"маменька",295
"разумихин",295
"руб",295
"угодно",295
"картина",294
"помещик",294
"продолжаться",294
"везде",293
"многий",293
"веровать",292
"допускать",292
"ламберт",292
"побежать",292
"сверх",292
"фраза",292
"верный",291
"поглядеть",291
"вспоминать",290
"обыкновенно",290
"откуда",290
"пропадать",290
"таков",290
"старший",289
"изо",288
"лгать",288
"ожидание",288
"редко",288
"заранее",287
"николаевна",287
"употреблять",287
"благодарить",286
"действительность",286
"александрович",285
"учить",285
"истинный",284
"ударять",284
"ангел",283
"восемь",283
"несчастие",283
"славянин",283
"клясться",282
"невольно",282
"выставлять",281
"глупость",281
"красота",281
"точь",281
"этакий",281
"воздух",280
"вслед",280
"театр",280
"тип",280
"братец",279
"вести",279
"возможно",279
"задумываться",279
"повертываться",279
"тема",279
"перебивать",278
"преступник",278
"свободный",278
"сохранять",278
"монастырь",277
"политический",277
"семь",277
"искренний",276
"григорий",275
"рот",275
"мертвый",274
"обижать",274
"праздник",274
"рассердиться",274
"сударь",274
"вновь",273
"крестьянин",273
"погибать",273
"вон",272
"обязанность",272
"папа",272
"предложение",272
"пускаться",272
"рогожин",272
"среди",272
"стыдиться",271
"мамаша",270
"прошептать",270
"мука",269
"направление",269
"спустя",269
"ставить",269
"мрачный",268
"низкий",268
"будущий",267
